T,alpha,dalpha
28.61,0.9991,24.0536
28.61,0.9991,24.0536
28.61,0.9991,24.0536
28.61,0.9991,24.0536
28.92,0.9991,24.2562
29.63,0.9992,24.6614
31.14,0.9993,25.877
35.1,0.9997,29.1186
46.74,1.0009,39.5525
65.89,0.9929,58.3943
76.73,0.994,69.436
80.17,0.9943,71.462
81.29,0.9944,72.0698
82.4,0.9945,73.0828
83.52,0.9946,74.0958
84.73,0.9948,75.2101
86.05,0.9949,76.4257
88.08,0.9951,78.7556
94.56,0.9958,85.2388
106.51,0.987,96.9896
115.63,0.9879,105.8027
120.8,0.9884,109.8547
123.43,1.0187,111.8807
125.56,0.9889,113.4002
127.68,0.9891,115.2236
131.03,0.9895,118.6678
136.7,0.9801,125.7588
145.51,0.981,136.3953
153.82,0.9818,145.3097
160.81,0.9825,150.5773
165.67,0.983,154.1228
170.03,0.9735,157.0605
174.18,0.9839,160.606
179.04,0.9843,165.9749
185.53,0.975,173.2685
192.11,0.9757,181.2712
199.4,0.9764,188.5648
206.19,0.9771,194.035
211.26,0.9776,199.2013
217.33,0.9782,204.165
222.4,0.9788,209.23
228.48,0.9794,215.308
234.56,0.98,222.399
240.63,0.9806,229.49
247.72,0.9713,235.568
253.8,0.962,241.646
260.89,0.9527,246.711
266.97,0.9533,252.789
273.05,0.9439,258.867
279.13,0.9446,264.945
285.21,0.9352,271.023
287.23,0.9354,278.114
289.26,0.9356,284.192
291.28,0.9358,290.27
293.31,0.936,297.361
296.35,0.9363,303.439
298.37,0.9365,309.517
300.4,0.9267,315.595
302.43,0.9269,317.621
304.45,0.9272,319.647
306.48,0.9274,321.673
308.5,0.9276,324.712
310.53,0.9278,326.738
312.56,0.928,328.764
314.58,0.9282,330.79
316.61,0.9184,332.816
318.63,0.9186,334.842
320.66,0.9188,337.881
322.69,0.919,339.907
324.71,0.9192,341.933
326.74,0.9194,343.959
328.76,0.9196,345.985
331.8,0.9199,348.011
333.83,0.9201,351.05
335.86,0.9203,353.076
337.88,0.9106,355.102
339.91,0.9108,357.128
341.93,0.911,359.154
343.96,0.9112,361.18
345.99,0.9114,363.206
348.01,0.9116,365.232
350.04,0.9118,367.258
352.06,0.902,369.284
354.09,0.9022,372.323
357.13,0.9025,374.349
359.15,0.9027,376.375
361.18,0.9029,378.401
363.21,0.9031,380.427
365.23,0.8934,382.453
367.26,0.8936,384.479
369.28,0.8938,387.518
371.31,0.894,388.531
374.35,0.8943,391.57
376.38,0.8945,393.596
378.4,0.8947,395.622
380.43,0.8849,397.648
382.45,0.8851,399.674
384.48,0.8853,402.713
387.52,0.8856,404.739
388.53,0.8857,406.765
391.57,0.8861,408.791
393.6,0.8863,410.817
395.62,0.8765,412.843
397.65,0.8767,414.869
399.67,0.8769,416.895
401.7,0.8771,418.921
403.73,0.8773,420.947
405.75,0.8675,422.973
408.79,0.8678,424.999
410.82,0.868,427.025
412.84,0.8682,429.051
414.87,0.8684,431.077
416.9,0.8686,434.116
418.92,0.8689,436.142
420.95,0.8591,438.168
422.97,0.8593,440.194
425,0.8595,442.22
427.03,0.8597,444.246
429.05,0.8599,446.272
432.09,0.8502,448.298
434.12,0.8504,450.324
436.14,0.8506,452.35
438.17,0.8508,455.389
440.19,0.851,457.415
442.22,0.8413,459.441
444.25,0.8415,461.467
446.27,0.8417,463.493
448.3,0.8419,465.519
450.32,0.8421,467.545
452.35,0.8423,469.571
454.38,0.8425,471.597
456.4,0.8327,473.623
458.43,0.8329,475.649
460.45,0.8331,477.675
462.48,0.8333,479.701
465.52,0.8336,481.727
467.55,0.8239,483.753
469.57,0.8241,486.792
471.6,0.8243,488.818
473.62,0.8245,494.896
475.65,0.8247,500.974
477.68,0.8249,507.052
479.7,0.8151,513.13
481.73,0.8153,519.208
483.75,0.8155,525.286
485.78,0.8157,531.364
487.81,0.8159,537.442
489.83,0.8061,543.52
491.86,0.8063,550.611
493.88,0.8066,555.676
495.91,0.8068,561.754
497.94,0.807,567.832
499.96,0.7972,573.91
506.04,0.7978,579.988
512.12,0.7884,586.066
518.2,0.789,592.144
524.27,0.7797,598.222
530.35,0.7703,604.3
536.43,0.7709,610.378
543.52,0.7617,616.456
548.59,0.7622,622.534
554.66,0.7528,627.599
560.74,0.7434,633.677
566.82,0.7441,639.755
572.9,0.7347,645.833
578.98,0.7353,651.911
585.05,0.7259,656.976
591.13,0.7265,663.054
596.2,0.7171,669.132
602.27,0.7177,675.21
608.35,0.7083,680.275
614.43,0.699,686.353
620.51,0.6996,692.431
626.59,0.6902,698.509
631.65,0.6907,704.587
637.73,0.6813,709.652
643.81,0.682,715.73
649.89,0.6726,721.808
655.96,0.6732,727.886
661.03,0.6737,732.951
667.11,0.6643,739.029
673.18,0.665,745.107
678.25,0.6555,750.172
684.33,0.6561,756.25
690.41,0.6467,762.328
696.48,0.6474,768.406
701.55,0.6379,773.471
707.63,0.6385,779.549
713.7,0.6391,784.614
719.78,0.6297,789.679
725.86,0.6304,795.757
730.93,0.6309,799.809
737,0.6215,803.861
743.08,0.6221,808.926
748.15,0.6126,813.991
754.22,0.6133,818.043
760.3,0.6139,823.108
766.38,0.6045,823.108
771.45,0.605,823.108
777.52,0.6056,823.108
782.59,0.5962,823.108
788.67,0.5968,823.108
793.73,0.5873,823.108
799.81,0.5879,823.108
804.87,0.5884,823.108
809.94,0.579,823.108
815,0.5795,823.108
819.06,0.5799,823.108
